index,bedroom_count,prompt,control_image,original_image,generated_image,edge_iou,chamfer_distance,edge_ssim,clip_similarity
17,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat3_7.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat3_7.jpg,/content/floor_plan_evaluation/test_0017.png,0.17008234784223886,1.9504916815905489,0.7969786080250928,0.3205620050430298
18,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat38_6.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat38_6.jpg,/content/floor_plan_evaluation/test_0018.png,0.12322167431842657,4.865272293831761,0.766128366989497,0.2932848036289215
19,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat28_5.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat28_5.jpg,/content/floor_plan_evaluation/test_0019.png,0.1342177493138152,3.600772433694444,0.7054592156770468,0.31284093856811523
20,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/3 bed 2.png,/content/drive/MyDrive/datafloor/3 bedroom/3 bed 2.png,/content/floor_plan_evaluation/test_0020.png,0.19084497303277556,1.2958696259464038,0.5407972144471248,0.3196271061897278
21,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat34_4.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat34_4.jpg,/content/floor_plan_evaluation/test_0021.png,0.14458572600492206,4.96920601581354,0.7284590885422076,0.2939176559448242
22,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat6_5.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat6_5.jpg,/content/floor_plan_evaluation/test_0022.png,0.1181664656212304,2.9739548194006256,0.7626504212119718,0.32213079929351807
23,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat50_5.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat50_5.jpg,/content/floor_plan_evaluation/test_0023.png,0.10751270027354436,3.7546765329430203,0.7423307373079364,0.32596439123153687
24,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat22_6.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat22_6.jpg,/content/floor_plan_evaluation/test_0024.png,0.131462746632385,3.9137403324122437,0.7538204627804103,0.2967078387737274
25,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/3 bed 28.png,/content/drive/MyDrive/datafloor/3 bedroom/3 bed 28.png,/content/floor_plan_evaluation/test_0025.png,0.16683875408707624,3.507483225081199,0.7015581958139547,0.3126470446586609
26,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/3 bed 25.png,/content/drive/MyDrive/datafloor/3 bedroom/3 bed 25.png,/content/floor_plan_evaluation/test_0026.png,0.1139830973548458,5.094928136302176,0.7498864331653649,0.3153948187828064
27,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat39_2.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat39_2.jpg,/content/floor_plan_evaluation/test_0027.png,0.17384272169548243,3.491510654820484,0.7815664338097682,0.31843382120132446
28,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat3_9.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat3_9.jpg,/content/floor_plan_evaluation/test_0028.png,0.0997959040045042,10.0130532521805,0.7949940451975659,0.2792184054851532
29,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat29_5.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat29_5.jpg,/content/floor_plan_evaluation/test_0029.png,0.15239300402223527,3.143930429658156,0.7077714362106434,0.32793840765953064
30,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat14_10.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat14_10.jpg,/content/floor_plan_evaluation/test_0030.png,0.1378162450066578,2.90143668687813,0.7144806003637861,0.3015126883983612
31,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat49_1.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat49_1.jpg,/content/floor_plan_evaluation/test_0031.png,0.14079474675293321,5.166181262253584,0.731087352588099,0.3171764612197876
32,1,Generate a 1 bedroom floor plan,/content/drive/MyDrive/processed_dataset/1 bedroom/1 bed 4.png,/content/drive/MyDrive/datafloor/1 bedroom/1 bed 4.png,/content/floor_plan_evaluation/test_0032.png,0.11978670729384878,3.65208819313115,0.7771509046024138,0.3130648732185364
33,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat37_3.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat37_3.jpg,/content/floor_plan_evaluation/test_0033.png,0.11728395061728394,5.940566995116401,0.7397116517414593,0.2833394408226013
34,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat40_7.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat40_7.jpg,/content/floor_plan_evaluation/test_0034.png,0.13711160356452448,6.038358772158043,0.7239282655907064,0.3079609274864197
35,0,Generate a 0 bedroom floor plan,/content/drive/MyDrive/processed_dataset/0 bedroom/0 bed 9.png,/content/drive/MyDrive/datafloor/0 bedroom/0 bed 9.png,/content/floor_plan_evaluation/test_0035.png,0.09831377576175919,5.25975765070863,0.843879489327975,0.30095160007476807
36,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat1_6.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat1_6.jpg,/content/floor_plan_evaluation/test_0036.png,0.1458438146346917,2.7605771269547588,0.763031082416237,0.31707823276519775
37,5,Generate a 5 bedroom floor plan,/content/drive/MyDrive/processed_dataset/5 bedroom/Cat44_1.jpg,/content/drive/MyDrive/datafloor/5 bedroom/Cat44_1.jpg,/content/floor_plan_evaluation/test_0037.png,0.13155636597661696,2.4734924329408052,0.7675768466191089,0.32051849365234375
38,3,Generate a 3 bedroom floor plan,/content/drive/MyDrive/processed_dataset/3 bedroom/Cat14_1.jpg,/content/drive/MyDrive/datafloor/3 bedroom/Cat14_1.jpg,/content/floor_plan_evaluation/test_0038.png,0.17242864173228348,1.7310091513778574,0.8102841686672831,0.3073135316371918
39,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat26_3.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat26_3.jpg,/content/floor_plan_evaluation/test_0039.png,0.17649689718790182,3.054939474208739,0.776295398554741,0.3045544922351837
40,4,Generate a 4 bedroom floor plan,/content/drive/MyDrive/processed_dataset/4 bedroom/Cat34_9.jpg,/content/drive/MyDrive/datafloor/4 bedroom/Cat34_9.jpg,/content/floor_plan_evaluation/test_0040.png,0.12655343827671914,5.310344884836448,0.7257381276588679,0.283478319644928
